Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32,count_matches,count_diff,count
17,citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,whole milk,curd,dessert,whipped/sour cream,uht-milk,frozen vegetables,frozen meals,bottled water,fruit/vegetable juice,specialty chocolate,napkins,,,,,,,,,,,,,,,,True,0,17
9,citrus fruit,other vegetables,butter,soda,bottled beer,canned beer,waffles,chocolate,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
7,meat,other vegetables,packaged fruit/vegetables,cream cheese,margarine,bottled water,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
5,root vegetables,whipped/sour cream,salt,fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
6,tropical fruit,other vegetables,whole milk,curd,whipped/sour cream,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
5,brown bread,oil,sugar,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,grapes,brown bread,bottled beer,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
6,ham,tropical fruit,cream cheese,processed cheese,white bread,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,root vegetables,skin care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,ice cream,misc. beverages,canned beer,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,tropical fruit,other vegetables,bottled water,bottled beer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,finished products,other vegetables,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
1,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
4,other vegetables,yogurt,oil,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,other vegetables,nut snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
6,dessert,yogurt,uht-milk,soda,canned beer,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
7,frankfurter,tropical fruit,cream cheese,rolls/buns,fruit/vegetable juice,kitchen towels,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
10,sausage,citrus fruit,pip fruit,yogurt,beverages,sliced cheese,sugar,bottled water,soda,cake bar,,,,,,,,,,,,,,,,,,,,,,,True,0,10
7,meat,citrus fruit,root vegetables,other vegetables,whipped/sour cream,semi-finished bread,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
7,sausage,yogurt,pastry,margarine,soda,bottled beer,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
15,beef,citrus fruit,onions,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,brown bread,canned vegetables,bottled water,dish cleaner,abrasive cleaner,hygiene articles,,,,,,,,,,,,,,,,,,True,0,15
9,pip fruit,other vegetables,butter,yogurt,whipped/sour cream,brown bread,pastry,fruit/vegetable juice,detergent,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
11,ham,hamburger meat,onions,other vegetables,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,cookware,shopping bags,,,,,,,,,,,,,,,,,,,,,,True,0,11
2,yogurt,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,citrus fruit,grapes,curd,bottled water,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
2,other vegetables,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,pork,frozen meals,frozen fish,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
1,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
8,ham,grapes,spread cheese,ice cream,frozen potato products,white bread,oil,pudding powder,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
9,grapes,specialty cheese,pasta,coffee,bottled water,soda,canned beer,brandy,white wine,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
4,citrus fruit,bottled water,red/blush wine,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,dessert,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,citrus fruit,tropical fruit,pip fruit,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
4,root vegetables,sliced cheese,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,pork,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,turkey,whole milk,uht-milk,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,tropical fruit,other vegetables,soda,candy,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
11,sausage,other vegetables,pasta,oil,margarine,coffee,syrup,canned beer,napkins,light bulbs,shopping bags,,,,,,,,,,,,,,,,,,,,,,True,0,11
9,sausage,meat,other vegetables,brown bread,canned fish,bottled water,canned beer,liquor (appetizer),shopping bags,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
14,pork,tropical fruit,other vegetables,dessert,yogurt,roll products,flour,rice,coffee,bottled water,soda,fruit/vegetable juice,canned beer,salty snack,,,,,,,,,,,,,,,,,,,True,0,14
6,sausage,citrus fruit,pip fruit,mayonnaise,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
3,grapes,chocolate,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
5,grapes,pastry,salty snack,light bulbs,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
6,other vegetables,yogurt,processed cheese,ketchup,bottled water,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,bottled water,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,prosecco,hygiene articles,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
4,uht-milk,soda,dish cleaner,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,bottled water,soda,chewing gum,specialty chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
10,beef,other vegetables,butter milk,yogurt,whipped/sour cream,cream cheese,white bread,fruit/vegetable juice,bottled beer,chocolate,,,,,,,,,,,,,,,,,,,,,,,True,0,10
3,tropical fruit,pasta,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
7,beef,root vegetables,other vegetables,butter,yogurt,rolls/buns,flour,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
2,rolls/buns,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,berries,root vegetables,whipped/sour cream,roll products,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
8,sausage,hamburger meat,whole milk,rolls/buns,oil,pickled vegetables,softener,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
6,chicken,pork,beef,whole milk,curd,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
10,sausage,citrus fruit,whole milk,cream cheese,processed cheese,frozen vegetables,rolls/buns,pastry,fruit/vegetable juice,chewing gum,,,,,,,,,,,,,,,,,,,,,,,True,0,10
2,soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,yogurt,uht-milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
15,citrus fruit,root vegetables,other vegetables,whole milk,curd,yogurt,whipped/sour cream,hard cheese,cream cheese,domestic eggs,flour,rice,oil,margarine,sugar,,,,,,,,,,,,,,,,,,True,0,15
6,citrus fruit,tropical fruit,grapes,whole milk,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,brown bread,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
9,tropical fruit,other vegetables,whipped/sour cream,uht-milk,frozen vegetables,oil,margarine,fruit/vegetable juice,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
12,frankfurter,tropical fruit,butter,whipped/sour cream,frozen vegetables,rolls/buns,sugar,baking powder,bottled water,misc. beverages,long life bakery product,newspapers,,,,,,,,,,,,,,,,,,,,,True,0,12
4,ham,rolls/buns,bottled beer,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,other vegetables,curd,yogurt,pickled vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,sausage,whole milk,curd,butter milk,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
6,pork,whole milk,margarine,soda,canned beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
5,citrus fruit,yogurt,whipped/sour cream,soda,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,tropical fruit,whole milk,domestic eggs,pastry,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
3,other vegetables,yogurt,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
6,pork,whole milk,sugar,soda,long life bakery product,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
16,chicken,pork,pip fruit,other vegetables,whole milk,tidbits,frozen fish,rolls/buns,margarine,baking powder,soda,bottled beer,white wine,waffles,chocolate,candy,,,,,,,,,,,,,,,,,True,0,16
5,root vegetables,whole milk,yogurt,rolls/buns,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,citrus fruit,cake bar,baby cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,beef,tropical fruit,whole milk,ice cream,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
32,frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese,mayonnaise,domestic eggs,rolls/buns,roll products,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles,True,1,31
12,frankfurter,pip fruit,other vegetables,yogurt,spread cheese,rolls/buns,white bread,pastry,coffee,soda,waffles,hygiene articles,,,,,,,,,,,,,,,,,,,,,True,0,12
9,beef,hamburger meat,other vegetables,rolls/buns,brown bread,bottled water,soda,bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
15,ham,pork,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,dessert,butter milk,whipped/sour cream,domestic eggs,brown bread,roll products,hygiene articles,,,,,,,,,,,,,,,,,,True,0,15
10,pork,root vegetables,other vegetables,specialty fat,sugar,baking powder,cat food,salty snack,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,True,0,10
5,condensed milk,bottled water,misc. beverages,bottled beer,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,chicken,bottled beer,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,sausage,meat,butter,domestic eggs,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
2,bottled beer,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
9,chicken,pork,grapes,other vegetables,domestic eggs,rolls/buns,pastry,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
8,finished products,other vegetables,whole milk,whipped/sour cream,margarine,cereals,soda,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
19,pork,beef,citrus fruit,berries,root vegetables,other vegetables,whole milk,yogurt,cream cheese,vinegar,oil,cat food,specialty chocolate,detergent,dish cleaner,abrasive cleaner,cleaner,hygiene articles,shopping bags,,,,,,,,,,,,,,True,0,19
4,root vegetables,whole milk,yogurt,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,domestic eggs,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
4,domestic eggs,specialty bar,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
1,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
7,other vegetables,rolls/buns,bottled water,fruit/vegetable juice,canned beer,whisky,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
12,sausage,meat,pork,whole milk,butter,whipped/sour cream,frozen vegetables,frozen dessert,white bread,brown bread,pastry,coffee,,,,,,,,,,,,,,,,,,,,,True,0,12
5,sausage,mayonnaise,rolls/buns,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,tropical fruit,sliced cheese,domestic eggs,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
10,frankfurter,beef,tropical fruit,pip fruit,butter,yogurt,dog food,long life bakery product,cookware,newspapers,,,,,,,,,,,,,,,,,,,,,,,True,0,10
2,frozen potato products,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,frankfurter,sausage,packaged fruit/vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,frankfurter,other vegetables,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
13,chicken,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,dessert,yogurt,whipped/sour cream,beverages,brown bread,cat food,shopping bags,,,,,,,,,,,,,,,,,,,,True,0,13
7,tropical fruit,pip fruit,other vegetables,whole milk,napkins,dishes,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
6,citrus fruit,grapes,rolls/buns,pastry,coffee,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
9,hamburger meat,pip fruit,whole milk,curd,beverages,brandy,male cosmetics,cookware,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
6,chicken,berries,mayonnaise,frozen vegetables,salty snack,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
11,sausage,tropical fruit,whole milk,yogurt,processed cheese,pastry,margarine,instant food products,coffee,popcorn,house keeping products,,,,,,,,,,,,,,,,,,,,,,True,0,11
3,frozen potato products,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
12,frankfurter,whole milk,whipped/sour cream,curd cheese,domestic eggs,margarine,baking powder,cat food,bottled water,canned beer,candy,napkins,,,,,,,,,,,,,,,,,,,,,True,0,12
18,sausage,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,sugar,baking powder,jam,coffee,bottled water,soda,fruit/vegetable juice,salty snack,long life bakery product,candy,napkins,,,,,,,,,,,,,,,True,0,18
4,tropical fruit,dessert,sweet spreads,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,citrus fruit,tropical fruit,whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,yogurt,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
17,turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,butter milk,yogurt,rolls/buns,oil,fruit/vegetable juice,waffles,candy,,,,,,,,,,,,,,,,True,0,17
2,soda,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,sausage,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
10,pork,root vegetables,whole milk,curd,whipped/sour cream,rolls/buns,white bread,canned vegetables,soda,cleaner,,,,,,,,,,,,,,,,,,,,,,,True,0,10
10,frankfurter,sausage,tropical fruit,whole milk,yogurt,pastry,sugar,bottled water,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,True,0,10
3,oil,dental care,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
5,chicken,hamburger meat,other vegetables,rolls/buns,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
5,beef,domestic eggs,rolls/buns,flour,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
8,dessert,uht-milk,bottled water,soda,canned beer,chewing gum,softener,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
6,pork,citrus fruit,other vegetables,domestic eggs,margarine,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
5,curd,whipped/sour cream,flour,baking powder,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
2,chicken,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
10,frankfurter,ham,root vegetables,onions,whole milk,yogurt,rolls/buns,white bread,brown bread,margarine,,,,,,,,,,,,,,,,,,,,,,,True,0,10
7,frankfurter,root vegetables,rolls/buns,pastry,mustard,bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
5,liver loaf,root vegetables,pet care,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
7,pork,root vegetables,onions,other vegetables,whole milk,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
9,frankfurter,liver loaf,turkey,uht-milk,pasta,waffles,chocolate,dental care,dishes,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
10,pork,citrus fruit,root vegetables,other vegetables,whole milk,butter,soda,dishes,newspapers,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,True,0,10
14,pork,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,whipped/sour cream,soft cheese,sliced cheese,ice cream,semi-finished bread,soda,newspapers,,,,,,,,,,,,,,,,,,,True,0,14
5,root vegetables,rolls/buns,margarine,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,whipped/sour cream,beverages,fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,whole milk,frozen vegetables,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
6,pork,beef,whole milk,curd,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,rolls/buns,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
9,citrus fruit,other vegetables,whole milk,yogurt,hard cheese,specialty cheese,rolls/buns,flour,cat food,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
4,citrus fruit,yogurt,brown bread,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,soda,chocolate,specialty chocolate,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
2,cream cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,chicken,whipped/sour cream,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
1,frozen fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
8,sausage,meat,chicken,root vegetables,other vegetables,whole milk,salt,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
5,beef,berries,other vegetables,white bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
11,ham,whole milk,hard cheese,frozen meals,rolls/buns,rice,soups,baking powder,canned vegetables,bottled beer,female sanitary products,,,,,,,,,,,,,,,,,,,,,,True,0,11
10,chicken,pork,root vegetables,onions,packaged fruit/vegetables,butter,hard cheese,salt,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,True,0,10
9,herbs,other vegetables,whole milk,butter,white bread,margarine,misc. beverages,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
5,tropical fruit,pip fruit,whole milk,chewing gum,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
13,frankfurter,meat,tropical fruit,berries,other vegetables,whole milk,whipped/sour cream,domestic eggs,margarine,ketchup,misc. beverages,canned beer,salty snack,,,,,,,,,,,,,,,,,,,,True,0,13
7,onions,other vegetables,rolls/buns,salt,chocolate,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
11,sausage,organic sausage,citrus fruit,berries,yogurt,whipped/sour cream,domestic eggs,rolls/buns,canned vegetables,salty snack,newspapers,,,,,,,,,,,,,,,,,,,,,,True,0,11
7,citrus fruit,other vegetables,soft cheese,rolls/buns,pastry,canned beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
8,hamburger meat,pastry,soda,canned beer,detergent,softener,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
13,frankfurter,root vegetables,other vegetables,whole milk,whipped/sour cream,sliced cheese,frozen meals,frozen dessert,flour,sugar,coffee,cleaner,shopping bags,,,,,,,,,,,,,,,,,,,,True,0,13
2,sausage,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,oil,dish cleaner,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
6,pip fruit,root vegetables,other vegetables,whole milk,chewing gum,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,red/blush wine,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,onions,vinegar,pet care,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
10,frankfurter,berries,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,brown bread,pastry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,True,0,10
11,meat,beef,tropical fruit,pip fruit,berries,other vegetables,whole milk,white bread,brown bread,sugar,detergent,,,,,,,,,,,,,,,,,,,,,,True,0,11
6,whole milk,canned fish,soda,bottled beer,hygiene articles,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
2,dessert,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,hamburger meat,baking powder,sweet spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
3,chewing gum,napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
4,bottled water,fruit/vegetable juice,bottled beer,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
4,beverages,pastry,long life bakery product,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
9,whole milk,yogurt,frozen meals,sugar,coffee,bottled water,fruit/vegetable juice,bottled beer,salty snack,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
14,citrus fruit,pip fruit,grapes,other vegetables,dessert,butter milk,yogurt,domestic eggs,flour,oil,sugar,ketchup,detergent,dish cleaner,,,,,,,,,,,,,,,,,,,True,0,14
7,tropical fruit,whole milk,hard cheese,rolls/buns,cat food,bottled water,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
2,cat food,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,whole milk,beverages,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,sausage,yogurt,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
14,root vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,cream cheese,domestic eggs,brown bread,jam,misc. beverages,fruit/vegetable juice,napkins,potted plants,,,,,,,,,,,,,,,,,,,True,0,14
6,berries,other vegetables,butter milk,yogurt,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
6,sausage,pip fruit,root vegetables,bottled beer,abrasive cleaner,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
3,beverages,bottled water,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
5,chicken,root vegetables,roll products,vinegar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
3,whole milk,yogurt,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
5,sausage,hard cheese,rolls/buns,canned vegetables,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
14,ham,hamburger meat,citrus fruit,root vegetables,onions,other vegetables,whole milk,white bread,brown bread,sugar,soda,red/blush wine,dishes,shopping bags,,,,,,,,,,,,,,,,,,,True,0,14
5,root vegetables,onions,whole milk,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
2,citrus fruit,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
17,frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine,soda,salty snack,chocolate,chocolate marshmallow,detergent,hygiene articles,napkins,potted plants,,,,,,,,,,,,,,,,True,0,17
3,ice cream,salty snack,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
17,sausage,ham,meat,chicken,tropical fruit,other vegetables,whole milk,butter,yogurt,cream cheese,frozen vegetables,domestic eggs,rolls/buns,brown bread,semi-finished bread,candy,newspapers,,,,,,,,,,,,,,,,True,0,17
4,root vegetables,fruit/vegetable juice,long life bakery product,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
19,ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese,frozen vegetables,white bread,pastry,semi-finished bread,oil,cat food,bottled water,fruit/vegetable juice,detergent,house keeping products,,,,,,,,,,,,,,True,0,19
5,citrus fruit,frozen meals,canned beer,red/blush wine,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
2,other vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
3,whole milk,white bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
4,zwieback,oil,mustard,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
6,chicken,other vegetables,whole milk,domestic eggs,pastry,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
3,butter,yogurt,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
12,ham,dessert,frozen meals,frozen dessert,white bread,sweet spreads,soda,long life bakery product,specialty bar,hygiene articles,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,True,0,12
5,whole milk,butter milk,soda,chewing gum,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,citrus fruit,misc. beverages,liquor,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
7,ham,herbs,other vegetables,curd,yogurt,cream cheese,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
5,frankfurter,packaged fruit/vegetables,brown bread,margarine,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
4,chicken,tropical fruit,candy,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
2,frankfurter,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
